Region,Start Date,End Date,Deliveries,Prices
Alberta,1/1/2019,1/31/2019,513298.00,493.80
Alberta,2/1/2019,2/28/2019,318556.00,490.42
Alberta,3/1/2019,3/31/2019,629320.00,496.66
Alberta,4/1/2019,4/30/2019,483659.00,507.28
Alberta,5/1/2019,5/31/2019,548214.00,516.82
Alberta,6/1/2019,6/30/2019,461929.00,520.12
Alberta,7/1/2019,7/31/2019,250989.00,516.65
Alberta,8/1/2019,8/31/2019,174771.00,508.03
Alberta,9/1/2019,9/30/2019,182911.00,484.82
Alberta,10/1/2019,10/31/2019,707299.00,477.07
Alberta,11/1/2019,11/30/2019,557669.00,472.02
Alberta,12/1/2019,12/31/2019,375388.00,473.39
British Columbia,1/1/2019,1/31/2019,14200.00,493.80
British Columbia,2/1/2019,2/28/2019,4100.00,490.42
British Columbia,3/1/2019,3/31/2019,3400.00,496.66
British Columbia,4/1/2019,4/30/2019,5900.00,507.28
British Columbia,5/1/2019,5/31/2019,3100.00,516.82
British Columbia,6/1/2019,6/30/2019,0.00,520.12
British Columbia,7/1/2019,7/31/2019,0.00,516.65
British Columbia,8/1/2019,8/31/2019,700.00,508.03
British Columbia,9/1/2019,9/30/2019,12100.00,484.82
British Columbia,10/1/2019,10/31/2019,23900.00,477.07
British Columbia,11/1/2019,11/30/2019,22400.00,472.02
British Columbia,12/1/2019,12/31/2019,8300.00,473.39
Manitoba,1/1/2019,1/31/2019,179708.00,497.60
Manitoba,2/1/2019,2/28/2019,167022.00,505.69
Manitoba,3/1/2019,3/31/2019,183448.00,508.17
Manitoba,4/1/2019,4/30/2019,182708.00,517.98
Manitoba,5/1/2019,5/31/2019,209767.00,527.46
Manitoba,6/1/2019,6/30/2019,240994.00,526.19
Manitoba,7/1/2019,7/31/2019,229022.00,521.03
Manitoba,8/1/2019,8/31/2019,291794.00,497.72
Manitoba,9/1/2019,9/30/2019,375382.00,473.98
Manitoba,10/1/2019,10/31/2019,211474.00,477.19
Manitoba,11/1/2019,11/30/2019,220899.00,476.67
Manitoba,12/1/2019,12/31/2019,183603.00,481.08
Ontario,1/1/2019,1/31/2019,713.00,512.00
Ontario,2/1/2019,2/28/2019,1781.00,505.02
Ontario,3/1/2019,3/31/2019,2920.00,527.91
Ontario,4/1/2019,4/30/2019,910.00,531.26
Ontario,5/1/2019,5/31/2019,922.00,531.91
Ontario,6/1/2019,6/30/2019,1638.00,516.17
Ontario,7/1/2019,7/31/2019,1650.00,547.35
Ontario,8/1/2019,8/31/2019,2377.00,510.48
Ontario,9/1/2019,9/30/2019,16472.00,495.46
Ontario,10/1/2019,10/31/2019,7557.00,489.00
Ontario,11/1/2019,11/30/2019,1461.00,488.00
Ontario,12/1/2019,12/31/2019,2049.00,466.01
Québec,1/1/2019,1/31/2019,2397.00,497.65
Québec,2/1/2019,2/28/2019,1215.00,500.71
Québec,3/1/2019,3/31/2019,1749.00,497.06
Québec,4/1/2019,4/30/2019,869.00,500.86
Québec,5/1/2019,5/31/2019,1124.00,507.79
Québec,6/1/2019,6/30/2019,822.00,516.13
Québec,7/1/2019,7/31/2019,168.00,510.60
Québec,8/1/2019,8/31/2019,220.00,490.00
Québec,9/1/2019,9/30/2019,4823.00,493.00
Québec,10/1/2019,10/31/2019,5934.00,493.00
Québec,11/1/2019,11/30/2019,3950.00,498.00
Québec,12/1/2019,12/31/2019,1508.00,503.00
Saskatchewan,1/1/2019,1/31/2019,961341.00,498.80
Saskatchewan,2/1/2019,2/28/2019,786206.00,505.44
Saskatchewan,3/1/2019,3/31/2019,828735.00,503.52
Saskatchewan,4/1/2019,4/30/2019,757098.00,507.93
Saskatchewan,5/1/2019,5/31/2019,733139.00,526.42
Saskatchewan,6/1/2019,6/30/2019,894089.00,523.05
Saskatchewan,7/1/2019,7/31/2019,686580.00,526.38
Saskatchewan,8/1/2019,8/31/2019,643389.00,506.94
Saskatchewan,9/1/2019,9/30/2019,1210007.00,479.04
Saskatchewan,10/1/2019,10/31/2019,1245927.00,480.26
Saskatchewan,11/1/2019,11/30/2019,1057832.00,476.70
Saskatchewan,12/1/2019,12/31/2019,809909.00,475.42
